Event Type,Sponsor Types,Sponsor Costs,Expected Footfall,Budget,Total Revenue,ROI
Festivals and fairs,Financial|Merchandise|In Kind,98964.44|20812.52|80396.99,10852,170896.91,208114.73,21.78
Sports events,Merchandise|In Kind|Food Stalls|Influencer|Influencer,30582.89|30125.97|27896.11|64051.25|54598.67,53523,144000.68,166587.41,15.69
Entertainment and media events,Merchandise|Influencer|Media Sponsorship|Philanthropy|In Kind,37590.81|86547.63|15244.14|75434.66|15662.31,21050,184722.98,254145.28,37.58
Community and Charity events,Philanthropy|In Kind,8374.48|34478.24,1555,31870.87,52517.53,64.78
Conferences and seminars,In Kind|Philanthropy|Philanthropy,64147.12|77142.88|82455.06,1400,176779.21,272626.79,54.22
Festivals and fairs,Merchandise|Financial|Food Stalls|Financial|Food Stalls,13124.59|73486.44|21622.23|122639.4|47628.8,50456,177879.86,306661.82,72.4
Community and Charity events,In Kind|Financial|In Kind|Food Stalls|Financial,58947.7|89261.07|52245.18|3453.7|60291.13,4288,235878.7,287021.24,21.68
Entertainment and media events,In Kind|In Kind|In Kind|Merchandise,82588.46|27969.61|19156.8|2985.09,2242,98763.87,161018.95,63.03
Community and Charity events,Media Sponsorship|Financial|Financial,89924.08|185395.11|77071.13,3111,283386.34,379594.56,33.95
Entertainment and media events,Influencer,90995.29,24874,78252.02,116070.5,48.33
Sports events,Financial|Food Stalls|In Kind,169279.67|39359.85|2453.55,99137,160596.85,312895.44,94.83
Virtual event,Financial|Influencer,184073.51|94988.65,6960,215864.91,358268.4,65.97
Virtual event,In Kind|Philanthropy|Financial,50922.0|42231.19|179862.5,3972,237114.34,348473.35,46.96
Community and Charity events,Philanthropy|Media Sponsorship,49910.47|15639.96,1767,51503.27,64488.96,25.21
Community and Charity events,Financial|Financial|Financial,178884.09|95468.03|37115.68,3179,240497.84,323550.81,34.53
Entertainment and media events,In Kind,2868.83,17959,2319.76,3151.52,35.86
Sports events,Merchandise|Financial|Merchandise|Financial|Merchandise,8821.8|2629.51|8532.08|53410.99|17539.42,61279,76137.98,116452.04,52.95
Virtual event,Influencer|Philanthropy|Merchandise|Financial|Merchandise,90597.49|80210.45|4172.22|127550.41|36461.72,1840,205783.09,339338.49,64.9
Virtual event,Media Sponsorship,63991.79,6293,49216.03,78012.62,58.51
Virtual event,Media Sponsorship,50156.16,1047,43556.4,66958.75,53.73
Conferences and seminars,Financial|Financial,49685.66|172461.21,1695,160443.46,264838.36,65.07
Community and Charity events,Influencer|Financial|In Kind|Influencer|In Kind,93806.27|126778.27|57097.88|3564.28|68856.5,2393,259152.55,423527.56,63.43
Festivals and fairs,Philanthropy|In Kind,37697.64|11048.12,66278,34888.87,49015.23,40.49
Virtual event,Media Sponsorship|Philanthropy,76125.49|84391.45,7781,141272.45,166242.25,17.67
Festivals and fairs,Financial|Philanthropy|Philanthropy|Financial|In Kind,154588.98|16607.32|1607.51|115339.66|52877.35,59253,240249.46,421258.71,75.34
Entertainment and media events,Food Stalls,17996.66,25195,15300.05,22950.97,50.01
Conferences and seminars,Merchandise,3828.18,1174,2516.98,3011.99,19.67
Festivals and fairs,Food Stalls,20235.75,70950,16073.34,17877.4,11.22
Festivals and fairs,In Kind,85421.42,93649,72238.57,103543.62,43.34
Entertainment and media events,Merchandise,40495.09,13328,26338.04,30929.04,17.43
Sports events,Merchandise|Influencer,7441.68|29859.54,43445,28485.1,42804.15,50.27
Sports events,In Kind|Media Sponsorship,77714.66|27183.99,57226,75807.4,115922.21,52.92
Festivals and fairs,Philanthropy|In Kind|Financial|Financial,20963.11|72708.16|129724.58|154936.63,63170,328712.73,505275.8,53.71
Entertainment and media events,Media Sponsorship|In Kind|Philanthropy|Philanthropy,3687.58|75004.6|9596.63|40754.95,36646,88813.59,128545.65,44.74
Sports events,Food Stalls|Influencer,33279.07|52181.75,72235,67167.11,106918.55,59.18
Community and Charity events,Philanthropy|Philanthropy,99796.04|68695.59,506,114377.99,197461.46,72.64
Conferences and seminars,Merchandise|Financial,40363.63|91282.51,2832,96428.41,127378.87,32.1
Entertainment and media events,Food Stalls|Media Sponsorship|Influencer|Philanthropy,12329.39|30074.5|21448.05|56639.7,40807,101976.1,153421.26,50.45
Sports events,Food Stalls|Media Sponsorship|Media Sponsorship|Financial|Merchandise,39692.88|39425.47|16341.2|157704.02|23654.07,63408,243002.55,343942.8,41.54
Entertainment and media events,In Kind|Merchandise|Merchandise|Philanthropy,5011.01|23222.58|30060.87|84876.53,21236,114893.95,140839.35,22.58
Sports events,Food Stalls,30443.75,28177,19285.57,35460.72,83.87
Community and Charity events,Food Stalls|Financial|Media Sponsorship|Influencer,47560.23|39138.16|16725.61|38556.8,3294,110517.11,178908.8,61.88
Sports events,Media Sponsorship|In Kind|Financial,12144.71|6134.11|4536.18,18183,15634.38,28050.91,79.42
Virtual event,Merchandise|Philanthropy|Media Sponsorship|Financial|In Kind,35299.85|18278.28|36387.42|76307.19|30163.06,3287,173395.45,217490.45,25.43
Conferences and seminars,Influencer|Merchandise|Philanthropy|Philanthropy,7595.67|20822.57|5556.02|72047.17,2650,84370.86,138390.36,64.03
Virtual event,Media Sponsorship|Financial|Media Sponsorship|Media Sponsorship|Merchandise,39598.16|58888.82|36158.43|76352.15|7839.37,4881,173637.41,224044.13,29.03
Community and Charity events,Media Sponsorship|Financial|In Kind|Food Stalls|Media Sponsorship,10169.48|86833.19|2830.44|40775.69|88942.89,4054,160017.14,275906.5,72.42
Conferences and seminars,Merchandise|Financial|Financial|Food Stalls,46522.13|35179.8|132325.37|5024.25,3966,142972.87,160233.78,12.07
Festivals and fairs,Financial|Financial|Financial|Financial|Merchandise,161893.16|32165.33|51519.58|161900.61|8645.04,34262,277285.31,489395.58,76.5
Entertainment and media events,Financial|Philanthropy,110999.22|8708.53,28028,104950.48,206856.8,97.1
Sports events,Philanthropy|Financial,4928.08|123437.23,71924,80242.4,145887.89,81.81
Sports events,Financial|Influencer|Influencer,8825.73|14364.71|77307.92,36884,62213.7,109150.04,75.44
Entertainment and media events,Financial|Influencer|In Kind|Philanthropy,70158.01|22634.23|33480.59|36994.28,13392,118189.22,140739.02,19.08
Entertainment and media events,Merchandise|Influencer|Philanthropy|Media Sponsorship|Food Stalls,5922.71|62004.58|33969.64|85912.03|37469.62,48991,179738.29,326965.41,81.91
Virtual event,Media Sponsorship|In Kind|In Kind,45709.6|98552.71|96409.18,1524,145426.32,248081.86,70.59
Entertainment and media events,Financial|Food Stalls,158154.45|20878.43,38518,145329.71,184258.51,26.79
Community and Charity events,In Kind,74554.47,1039,65022.77,93689.77,44.09
Community and Charity events,Media Sponsorship|Philanthropy,12974.19|64860.52,2390,49308.52,88410.3,79.3
Community and Charity events,Merchandise,3054.82,4396,2191.31,3673.4,67.64
Community and Charity events,Media Sponsorship,2909.47,4712,2079.64,2668.44,28.31
Virtual event,Media Sponsorship,82704.86,7632,59030.35,96046.19,62.71
Entertainment and media events,In Kind,94808.09,13234,76234.42,127599.67,67.38
Entertainment and media events,Merchandise|In Kind|Influencer,6877.29|93843.52|35517.96,28276,119812.35,187567.99,56.55
Festivals and fairs,Media Sponsorship|Influencer|Financial|Media Sponsorship|Influencer,12093.14|13042.33|158010.05|47197.07|27933.3,37144,216833.78,383451.87,76.84
Sports events,Philanthropy|Food Stalls|Food Stalls|Philanthropy,86040.85|25778.91|23489.29|27294.86,92671,127062.23,221857.19,74.61
Virtual event,Merchandise|Media Sponsorship|Influencer|In Kind,7412.44|26144.29|66098.65|1533.28,4365,64997.39,95422.78,46.81
Community and Charity events,Influencer|Financial|In Kind|Financial,19532.61|103813.64|66751.97|59799.78,4301,221540.53,260005.16,17.36
Sports events,Philanthropy|Media Sponsorship|Food Stalls|Food Stalls,53833.93|32325.12|30406.69|45440.67,43598,121088.31,139949.12,15.58
Sports events,In Kind|Media Sponsorship|Philanthropy,82061.25|89711.83|47834.89,73171,189130.59,340387.17,79.97
Festivals and fairs,Influencer,22875.08,19006,19401.03,26480.04,36.49
Entertainment and media events,In Kind|Merchandise|Merchandise|Merchandise|Influencer,24019.02|34344.37|6378.6|48697.13|26035.56,37798,118885.2,187430.19,57.66
Virtual event,Philanthropy|Influencer|Merchandise|Philanthropy|Financial,58073.45|64827.92|8539.57|79660.38|45174.93,8417,225475.05,264072.57,17.12
Entertainment and media events,Food Stalls|Media Sponsorship|Financial|Financial,39507.42|32971.09|126809.7|150390.13,10580,282994.34,395101.27,39.61
Festivals and fairs,In Kind,97235.1,78746,77162.31,146189.0,89.46
Community and Charity events,Philanthropy,5354.29,4018,4428.88,6836.03,54.35
Conferences and seminars,Philanthropy|In Kind|Media Sponsorship,92081.13|86506.02|15073.4,3479,162757.39,268174.08,64.77
Community and Charity events,Influencer|Financial|Merchandise,27933.86|186788.16|8916.01,1094,151042.22,169809.49,12.43
Community and Charity events,Financial|Influencer|Media Sponsorship,191849.42|31755.24|56000.25,3064,249848.44,369217.6,47.78
Festivals and fairs,Influencer|Merchandise|Philanthropy|Merchandise|Financial,11872.43|33318.1|56168.26|39028.13|7210.68,88346,89841.73,111979.6,24.64
Virtual event,Influencer|Influencer,63912.3|39588.8,1030,74251.2,97165.36,30.86
Virtual event,Merchandise|Merchandise|Financial,35921.87|16424.25|185701.27,4722,198004.06,232206.96,17.27
Community and Charity events,Influencer|Food Stalls|Philanthropy|In Kind|Media Sponsorship,52921.09|45579.31|80772.48|42256.41|46543.29,789,202093.19,271504.09,34.35
Virtual event,Influencer|In Kind|Media Sponsorship|Media Sponsorship|Influencer,78967.09|36478.23|83038.04|1723.11|86089.46,882,253865.69,432274.61,70.28
Sports events,Influencer,18038.42,9057,12415.82,17273.71,39.13
Conferences and seminars,Philanthropy,57932.43,3789,41405.99,61635.51,48.86
Virtual event,Financial|In Kind|Media Sponsorship|Philanthropy|In Kind,151166.8|12731.11|74683.72|35489.43|63444.93,9766,250355.03,309029.4,23.44
Virtual event,In Kind|In Kind|In Kind|Influencer,48288.39|29849.7|14404.75|29150.02,8595,81082.38,106031.37,30.77
Community and Charity events,Financial|Financial|Influencer|Influencer,142119.2|4338.51|59368.67|16329.63,1025,166836.64,219794.08,31.74
Virtual event,Financial|Influencer|Media Sponsorship|Philanthropy|Philanthropy,84599.49|19998.64|32641.77|6335.11|33352.44,872,132613.4,241560.13,82.15
Festivals and fairs,Food Stalls,40863.04,9149,35828.87,66190.71,84.74
Festivals and fairs,In Kind,65362.96,11935,40898.69,77705.56,90.0
Community and Charity events,Influencer|In Kind|Financial|Media Sponsorship|In Kind,9353.27|68955.22|163091.68|80047.89|99953.81,1751,261222.19,325071.22,24.44
Sports events,Philanthropy|Merchandise,70330.21|19916.96,20694,61723.34,106539.04,72.61
Virtual event,Merchandise|In Kind,21963.75|73225.59,3649,67770.57,99082.03,46.2
Sports events,Influencer|Merchandise|Financial|Food Stalls,86813.7|29869.07|189135.73|31915.59,5905,261014.21,404131.68,54.83
Festivals and fairs,In Kind|Influencer|Media Sponsorship|Food Stalls|Philanthropy,43276.29|87334.76|28789.5|6141.51|52873.87,59240,158402.09,239571.01,51.24
Sports events,Merchandise|Food Stalls|Food Stalls,36601.61|42058.68|47493.38,31601,82497.33,93764.3,13.66
Community and Charity events,Merchandise|Media Sponsorship,15308.05|29666.11,309,37227.9,60328.23,62.05
Sports events,In Kind|Financial|Food Stalls|Financial,15361.76|121411.84|40120.88|72593.55,78349,206044.54,309094.58,50.01
Community and Charity events,Food Stalls|Media Sponsorship|Influencer|Financial,1979.65|71833.71|72428.25|158932.74,2179,224192.44,379408.14,69.23
Festivals and fairs,Philanthropy|Financial|Merchandise|Influencer,74724.24|3080.64|30332.12|10237.58,94683,87961.8,113783.39,29.36
Community and Charity events,Influencer|Media Sponsorship|In Kind,15260.51|53938.05|46687.82,149,81558.95,148227.15,81.74
Festivals and fairs,Media Sponsorship|Philanthropy,66519.95|47739.6,31916,102141.51,190869.34,86.87
Festivals and fairs,Food Stalls|Media Sponsorship|Philanthropy,5247.32|58470.39|62007.54,69047,75901.52,92827.0,22.3
Virtual event,Influencer|Merchandise|Influencer|Media Sponsorship|Media Sponsorship,10381.39|41531.19|9654.58|81521.83|17967.64,2372,119339.05,205762.11,72.42
Conferences and seminars,In Kind,17033.95,2550,11338.21,21144.51,86.49
Virtual event,Financial|Influencer|Influencer,10022.21|2663.96|15966.05,8275,19970.74,24192.1,21.14
Conferences and seminars,Financial,80493.74,3698,56440.57,62380.45,10.52
Conferences and seminars,Philanthropy|In Kind,3268.61|18874.34,3814,16093.99,17912.78,11.3
Sports events,Merchandise|Influencer|In Kind|Philanthropy|Food Stalls,14015.21|1311.76|72978.03|1466.27|14857.0,70672,76748.63,87401.23,13.88
Sports events,Influencer,28469.27,14581,20554.57,24507.81,19.23
Entertainment and media events,Financial|Food Stalls|In Kind|Merchandise|Philanthropy,96865.03|15294.66|55869.42|11841.52|8517.34,26237,167639.47,275804.59,64.52
Entertainment and media events,Food Stalls|Media Sponsorship|Philanthropy|Influencer|In Kind,47925.85|52276.62|68268.81|80413.1|11374.21,23557,169774.8,210030.08,23.71
Entertainment and media events,Financial|Influencer,137702.82|37411.85,34849,132801.24,182096.05,37.12
Entertainment and media events,Influencer|Media Sponsorship|Media Sponsorship|Merchandise,3879.28|3070.99|34730.32|2860.18,29309,34827.79,51920.34,49.08
Festivals and fairs,In Kind|In Kind,81844.75|28424.35,33074,77522.37,137745.86,77.69
Community and Charity events,Influencer|Influencer|Food Stalls,92230.2|40063.39|24565.71,667,133215.5,230277.63,72.86
Virtual event,Merchandise|Financial,31837.47|37527.8,5536,48837.56,64006.31,31.06
Virtual event,Influencer|Influencer|Philanthropy|Merchandise|Influencer,2008.0|55827.8|51651.88|19214.43|41392.5,561,140048.02,189831.58,35.55
Virtual event,Merchandise|Financial|Influencer|Media Sponsorship,22925.02|54038.37|17200.29|50605.72,4521,124650.07,194266.56,55.85
Festivals and fairs,Financial|Influencer|Financial|Financial|Financial,15060.18|25040.07|135732.67|87978.35|166232.76,47843,292342.06,442503.74,51.37
Entertainment and media events,Financial|Influencer|Merchandise|Financial,114272.46|67344.54|4068.98|183892.14,43471,232298.54,391282.82,68.44
Conferences and seminars,Philanthropy|Merchandise|Financial|In Kind,64731.21|1026.42|172557.84|94862.32,2129,268292.99,330145.74,23.05
Entertainment and media events,Philanthropy,59132.77,41900,43220.09,77177.34,78.57
Conferences and seminars,Financial|Philanthropy|Influencer|Philanthropy,140512.15|74861.81|49044.4|89959.3,512,223674.5,396781.89,77.39
