Event Type,Expected Footfall,Number of Sponsors,Ticket Price,Sponsor Type,Sponsor Cost,Sponsor Revenue,Sponsor ROI
Entertainment and media events,15266,2,14776.9,Merchandise,14446.06,28892.12,100
Entertainment and media events,15266,2,14776.9,In Kind,47745.64,76635.79,60.51
Conferences and seminars,2158,3,916.17,Influencer,38364.88,76729.76,100
Conferences and seminars,2158,3,916.17,Merchandise,23348.88,40065.73,71.6
Conferences and seminars,2158,3,916.17,In Kind,20098.59,32251.13,60.46
Entertainment and media events,4593,4,38154.6,Influencer,60220.05,120440.1,100
Entertainment and media events,4593,4,38154.6,Philanthropy,94603.95,143741.37,51.94
Entertainment and media events,4593,4,38154.6,Philanthropy,52829.41,101276.78,91.71
Entertainment and media events,4593,4,38154.6,Financial,117050.91,234101.82,100
Conferences and seminars,799,3,999.01,Financial,169558.27,169558.27,0
Conferences and seminars,799,3,999.01,In Kind,84501.08,84501.08,0
Conferences and seminars,799,3,999.01,Media Sponsorship,44686.83,52882.49,18.34
Entertainment and media events,31101,3,63948.75,Food Stalls,1296.86,2593.72,100
Entertainment and media events,31101,3,63948.75,Media Sponsorship,72038.93,144077.86,100
Entertainment and media events,31101,3,63948.75,In Kind,21407.78,42815.56,100
Community and Charity events,1298,1,231.16,Media Sponsorship,35865.52,55713.95,55.34
Community and Charity events,2290,1,164.91,Merchandise,18709.14,24954.92,33.38
Sports events,51418,2,114.32,Financial,150973.37,301946.74,100
Sports events,51418,2,114.32,Food Stalls,45315.24,89349.03,97.17
Entertainment and media events,18377,2,24873.74,Philanthropy,98833.88,154746.33,56.57
Entertainment and media events,18377,2,24873.74,In Kind,70644.42,134146.4,89.89
Festivals and fairs,94581,3,0,Merchandise,9243.55,17423.32,88.49
Festivals and fairs,94581,3,0,Influencer,4560.84,9121.68,100
Festivals and fairs,94581,3,0,Philanthropy,55972.33,111944.66,100
Community and Charity events,2164,4,117.36,Media Sponsorship,58409.31,114961.24,96.82
Community and Charity events,2164,4,117.36,Philanthropy,1916.8,2890.84,50.82
Community and Charity events,2164,4,117.36,Influencer,87833.05,175666.1,100
Community and Charity events,2164,4,117.36,Philanthropy,14151.45,21570.57,52.43
Sports events,27378,4,572.13,Media Sponsorship,24065.4,48130.8,100
Sports events,27378,4,572.13,In Kind,7540.61,14451.49,91.65
Sports events,27378,4,572.13,Merchandise,27023.36,54046.72,100
Sports events,27378,4,572.13,Merchandise,17158.75,34317.5,100
Conferences and seminars,4195,4,809.99,Media Sponsorship,67472.47,134944.94,100
Conferences and seminars,4195,4,809.99,Influencer,3259.76,6519.52,100
Conferences and seminars,4195,4,809.99,Media Sponsorship,43819.03,87638.06,100
Conferences and seminars,4195,4,809.99,Philanthropy,7565.49,14798.14,95.6
Virtual event,2234,4,0,Influencer,36969.04,73408.3,98.57
Virtual event,2234,4,0,Merchandise,31026.38,62052.76,100
Virtual event,2234,4,0,Financial,21185.18,42370.36,100
Virtual event,2234,4,0,Media Sponsorship,56131.41,112262.82,100
Festivals and fairs,22015,2,0,Media Sponsorship,2551.37,5102.74,100
Festivals and fairs,22015,2,0,Influencer,73354.48,146708.96,100
Community and Charity events,2256,1,789.67,Philanthropy,84634.98,155787.34,84.07
Entertainment and media events,11873,4,49699.29,Merchandise,25975.34,51950.68,100
Entertainment and media events,11873,4,49699.29,Food Stalls,23846.25,47692.5,100
Entertainment and media events,11873,4,49699.29,Philanthropy,8069.53,16139.06,100
Entertainment and media events,11873,4,49699.29,Food Stalls,18929.14,37858.28,100
Sports events,48380,2,229.26,Financial,24045.63,48091.26,100
Sports events,48380,2,229.26,Financial,44434.84,88869.68,100
Conferences and seminars,1707,2,797.96,Food Stalls,26337.83,39709.87,50.77
Conferences and seminars,1707,2,797.96,Influencer,32950.88,65901.76,100
Conferences and seminars,2340,4,55.77,Philanthropy,86577.72,158343.78,82.89
Conferences and seminars,2340,4,55.77,Media Sponsorship,71245.4,142490.8,100
Conferences and seminars,2340,4,55.77,In Kind,60131.38,95666.65,59.1
Conferences and seminars,2340,4,55.77,Financial,175311.03,350622.06,100
Sports events,28711,1,296.13,Merchandise,28392.95,56785.9,100
Entertainment and media events,17253,4,90007.63,Influencer,27841.37,55682.74,100
Entertainment and media events,17253,4,90007.63,Influencer,39652.11,79304.22,100
Entertainment and media events,17253,4,90007.63,Influencer,90359.75,180719.5,100
Entertainment and media events,17253,4,90007.63,Financial,67979.01,135958.02,100
Virtual event,8345,3,0,Media Sponsorship,47848.37,95696.74,100
Virtual event,8345,3,0,In Kind,57923.33,115846.66,100
Virtual event,8345,3,0,Philanthropy,8260.11,11336.49,37.24
Conferences and seminars,2871,5,270.02,Merchandise,25753.6,39381.44,52.92
Conferences and seminars,2871,5,270.02,Food Stalls,26082.74,52165.48,100
Conferences and seminars,2871,5,270.02,Influencer,42967.03,83363.3,94.02
Conferences and seminars,2871,5,270.02,Philanthropy,66119.71,132239.42,100
Conferences and seminars,2871,5,270.02,Financial,6561.2,13122.4,100
Festivals and fairs,76754,5,0,Influencer,10245.49,20490.98,100
Festivals and fairs,76754,5,0,Financial,125623.44,251246.88,100
Festivals and fairs,76754,5,0,Philanthropy,21968.34,43936.68,100
Festivals and fairs,76754,5,0,Food Stalls,8909.0,17805.78,99.86
Festivals and fairs,76754,5,0,Financial,54097.94,108195.88,100
Conferences and seminars,4577,3,300.61,Philanthropy,82719.65,117972.2,42.62
Conferences and seminars,4577,3,300.61,Food Stalls,28788.01,57576.02,100
Conferences and seminars,4577,3,300.61,Merchandise,37317.49,58572.62,56.96
Virtual event,730,3,0,Media Sponsorship,65173.79,65173.79,0
Virtual event,730,3,0,Philanthropy,64161.54,64161.54,0
Virtual event,730,3,0,Philanthropy,65215.69,65215.69,0
Community and Charity events,665,5,698.91,Media Sponsorship,41471.25,41471.25,0
Community and Charity events,665,5,698.91,Financial,98304.46,98304.46,0
Community and Charity events,665,5,698.91,In Kind,98085.79,98085.79,0
Community and Charity events,665,5,698.91,Merchandise,10833.55,10833.55,0
Community and Charity events,665,5,698.91,Financial,111871.4,111871.4,0
Virtual event,1029,3,0,Influencer,6970.69,9638.18,38.27
Virtual event,1029,3,0,Influencer,93123.1,105342.94,13.12
Virtual event,1029,3,0,Philanthropy,35815.38,35815.38,0
Festivals and fairs,55173,2,0,Influencer,85707.73,171415.46,100
Festivals and fairs,55173,2,0,Merchandise,34202.44,68404.88,100
Virtual event,4507,5,0,Financial,193101.19,386202.38,100
Virtual event,4507,5,0,In Kind,77432.79,98416.37,27.1
Virtual event,4507,5,0,Media Sponsorship,99376.9,198753.8,100
Virtual event,4507,5,0,In Kind,93924.67,187849.34,100
Virtual event,4507,5,0,Financial,176549.55,353099.1,100
Community and Charity events,4750,5,589.35,Media Sponsorship,49430.1,98860.2,100
Community and Charity events,4750,5,589.35,Food Stalls,29251.42,44732.34,52.92
Community and Charity events,4750,5,589.35,In Kind,74493.49,124500.27,67.13
Community and Charity events,4750,5,589.35,Merchandise,32545.98,55033.99,69.1
Community and Charity events,4750,5,589.35,Financial,164702.66,329405.32,100
Festivals and fairs,86396,5,0,In Kind,69908.02,139816.04,100
Festivals and fairs,86396,5,0,Influencer,52456.65,104913.3,100
Festivals and fairs,86396,5,0,Media Sponsorship,66935.33,133870.66,100
Festivals and fairs,86396,5,0,Media Sponsorship,37078.73,74157.46,100
Festivals and fairs,86396,5,0,Food Stalls,3947.02,7894.04,100
Festivals and fairs,23334,3,0,Philanthropy,61108.04,118918.76,94.6
Festivals and fairs,23334,3,0,Financial,101671.81,203343.62,100
Festivals and fairs,23334,3,0,Food Stalls,21598.66,43197.32,100
Entertainment and media events,35887,2,93007.18,In Kind,34796.23,69592.46,100
Entertainment and media events,35887,2,93007.18,In Kind,72643.44,145286.88,100
Virtual event,5114,2,0,In Kind,4555.55,7168.45,57.36
Virtual event,5114,2,0,Financial,123593.69,247187.38,100
Community and Charity events,3171,3,983.02,Influencer,39252.81,55953.69,42.55
Community and Charity events,3171,3,983.02,Food Stalls,22421.53,41165.45,83.6
Community and Charity events,3171,3,983.02,Philanthropy,93305.04,173196.14,85.62
Festivals and fairs,38549,2,0,Influencer,19738.02,39476.04,100
Festivals and fairs,38549,2,0,Media Sponsorship,45805.21,91610.42,100
Sports events,27884,2,181.6,Merchandise,27408.68,54817.36,100
Sports events,27884,2,181.6,Media Sponsorship,25341.69,50683.38,100
Virtual event,787,4,0,In Kind,79780.47,79780.47,0
Virtual event,787,4,0,Merchandise,46273.78,46273.78,0
Virtual event,787,4,0,Philanthropy,98925.15,98925.15,0
Virtual event,787,4,0,Media Sponsorship,79629.56,79629.56,0
Festivals and fairs,39368,1,0,Financial,34648.98,69297.96,100
Entertainment and media events,47452,2,75854.29,Financial,97608.56,195217.12,100
Entertainment and media events,47452,2,75854.29,In Kind,38876.38,77752.76,100
Virtual event,8394,5,0,Merchandise,18790.51,37581.02,100
Virtual event,8394,5,0,Financial,168357.61,336715.22,100
Virtual event,8394,5,0,Influencer,90999.14,181998.28,100
Virtual event,8394,5,0,Influencer,15526.6,31053.2,100
Virtual event,8394,5,0,Philanthropy,10594.94,13215.68,24.74
Entertainment and media events,40462,4,47632.31,Food Stalls,18026.8,36053.6,100
Entertainment and media events,40462,4,47632.31,In Kind,1833.55,2826.02,54.13
Entertainment and media events,40462,4,47632.31,Food Stalls,22605.91,45211.82,100
Entertainment and media events,40462,4,47632.31,Financial,143115.46,286230.92,100
Conferences and seminars,2627,5,179.93,Influencer,73263.43,146526.86,100
Conferences and seminars,2627,5,179.93,Philanthropy,65926.19,101006.48,53.21
Conferences and seminars,2627,5,179.93,Influencer,69298.42,137651.36,98.64
Conferences and seminars,2627,5,179.93,In Kind,91488.17,165072.81,80.43
Conferences and seminars,2627,5,179.93,In Kind,7278.58,14557.16,100
Festivals and fairs,13907,3,0,Philanthropy,96496.04,192992.08,100
Festivals and fairs,13907,3,0,In Kind,77735.77,155471.54,100
Festivals and fairs,13907,3,0,In Kind,27315.11,43069.65,57.68
Community and Charity events,3304,4,659.91,Philanthropy,30989.12,42943.87,38.58
Community and Charity events,3304,4,659.91,Philanthropy,75833.53,109304.03,44.14
Community and Charity events,3304,4,659.91,Food Stalls,23453.62,46907.24,100
Community and Charity events,3304,4,659.91,Influencer,2780.42,5560.84,100
Festivals and fairs,27443,1,0,Food Stalls,21767.91,43535.82,100
Community and Charity events,2280,5,711.66,In Kind,82735.74,126003.39,52.3
Community and Charity events,2280,5,711.66,Food Stalls,6739.18,10561.49,56.72
Community and Charity events,2280,5,711.66,Food Stalls,42633.89,85267.78,100
Community and Charity events,2280,5,711.66,Merchandise,7236.43,13813.49,90.89
Community and Charity events,2280,5,711.66,Food Stalls,10936.06,19022.89,73.95
Virtual event,4027,4,0,Influencer,83977.54,167955.08,100
Virtual event,4027,4,0,Media Sponsorship,42293.29,68751.19,62.56
Virtual event,4027,4,0,Philanthropy,20201.96,23931.54,18.46
Virtual event,4027,4,0,Financial,36696.53,73393.06,100
Festivals and fairs,7601,2,0,Philanthropy,18173.65,33166.72,82.5
Festivals and fairs,7601,2,0,Merchandise,18234.08,36468.16,100
Community and Charity events,649,4,289.59,Influencer,97221.06,97221.06,0
Community and Charity events,649,4,289.59,Merchandise,14649.91,14649.91,0
Community and Charity events,649,4,289.59,Philanthropy,4867.08,4867.08,0
Community and Charity events,649,4,289.59,Philanthropy,52404.05,52404.05,0
Festivals and fairs,97988,4,0,Food Stalls,7710.75,15421.5,100
Festivals and fairs,97988,4,0,Food Stalls,43103.36,74484.18,72.8
Festivals and fairs,97988,4,0,Media Sponsorship,23380.5,46761.0,100
Festivals and fairs,97988,4,0,Financial,91138.94,182277.88,100
Conferences and seminars,4686,1,859.43,Financial,146146.62,292293.24,100
Entertainment and media events,47553,4,25524.99,Influencer,33494.92,66989.84,100
Entertainment and media events,47553,4,25524.99,Influencer,84310.39,168620.78,100
Entertainment and media events,47553,4,25524.99,Food Stalls,9473.45,18946.9,100
Entertainment and media events,47553,4,25524.99,Influencer,6520.44,13040.88,100
Entertainment and media events,25681,3,91373.6,In Kind,48880.93,97761.86,100
Entertainment and media events,25681,3,91373.6,In Kind,4585.58,9171.16,100
Entertainment and media events,25681,3,91373.6,Influencer,39074.06,78148.12,100
Sports events,79834,4,454.04,Philanthropy,68317.83,116798.59,70.96
Sports events,79834,4,454.04,Merchandise,19602.19,39204.38,100
Sports events,79834,4,454.04,Philanthropy,35940.76,59841.71,66.5
Sports events,79834,4,454.04,Food Stalls,40256.82,80513.64,100
Sports events,80251,2,389.16,In Kind,82671.19,165342.38,100
Sports events,80251,2,389.16,Philanthropy,76959.56,153919.12,100
Entertainment and media events,28145,1,96230.25,Influencer,94142.42,188284.84,100
Sports events,3786,5,215.25,Influencer,40646.77,81293.54,100
Sports events,3786,5,215.25,Financial,179684.28,359368.56,100
Sports events,3786,5,215.25,Merchandise,38351.67,75635.18,97.21
Sports events,3786,5,215.25,Influencer,71898.59,143797.18,100
Sports events,3786,5,215.25,Merchandise,10598.1,18643.31,75.91
Virtual event,1858,5,0,Financial,71314.61,142629.22,100
Virtual event,1858,5,0,Philanthropy,89528.81,155362.97,73.53
Virtual event,1858,5,0,Merchandise,14986.75,25534.93,70.38
Virtual event,1858,5,0,Merchandise,29566.16,59132.32,100
Virtual event,1858,5,0,Merchandise,39848.71,48608.9,21.98
Festivals and fairs,76961,4,0,Philanthropy,71045.41,142090.82,100
Festivals and fairs,76961,4,0,Food Stalls,3688.82,7155.99,93.99
Festivals and fairs,76961,4,0,Philanthropy,5092.88,10185.76,100
Festivals and fairs,76961,4,0,Philanthropy,50089.91,100179.82,100
Sports events,98693,3,336.86,Influencer,55494.91,110989.82,100
Sports events,98693,3,336.86,Food Stalls,2014.03,4028.06,100
Sports events,98693,3,336.86,Influencer,90824.6,181649.2,100
